"id","feature","expected_behavior","local_implementation","server_implementation","production_check","roles","data_entities","status","defect_id","evidence_ids","recommendation"
"F-001","Liveness probe GET /api/v1/health","Returns 200 ok without auth","app/api/v1/health.py :: GET /health; wired in app/main.py","Lineage f06b15c (EV-002/EV-005); per-file not diffed","EV-004: 200 ok in 0.95s, single GET, no stop-signal","public","none","DEPLOYED_WORKING","","EV-001;EV-002;EV-004","Keep as SLO probe; deepen in operations report"
"F-002","Readiness probe GET /api/v1/ready","Returns aggregated dependency status; replica may be not_configured on single node","app/api/v1/health.py :: GET /ready; checks primary/replica/redis/storage/clamav","Lineage f06b15c (EV-002/EV-003); per-file not diffed","EV-004: 200 ready; primary ok; replica not_configured; redis/storage/clamav ok","public","none","DEPLOYED_WORKING","","EV-002;EV-003;EV-004","Single-node fact feeds SPOF finding; replica gap is operations scope"
"F-003","Prometheus metrics GET /api/v1/metrics","Exposes bounded (method,route,status) templates; no raw paths","app/services/metrics.py (build_route_templates; UNMATCHED_ROUTE); app/api/v1/metrics.py","Lineage f06b15c; per-file not diffed","EV-004: 200, route templates only (/health /metrics /news /news/categories /notifications)","public","none","DEPLOYED_WORKING","","EV-003;EV-004","Per-instance scrape needs dns_sd (operations scope)"
"F-004","Public landing /","Landing renders publicly without auth","src/app/(landing)/page.tsx; public-registry.ts fetchPublicRegistryPage without Authorization","Lineage f06b15c; frontend image f06b15cb76ef running (EV-003)","EV-004: 200, 261896B in 1.22s (single GET; body not stored)","public","projects (read-only projection)","DEPLOYED_WORKING","","EV-002;EV-003;EV-004","Visual states (1920/768/375) belong to UX report with screenshots"
"F-005","Public projects registry","Registry list and detail readable without auth, with anon/auth rate limits","app/api/v1/projects.py :: GET /registry and /registry/{id}; enforce limits via REGISTRY_ANON_LIMIT/AUTH_LIMIT; src/features/registry/*","Lineage f06b15c; per-file not diffed","UNKNOWN: not probed by EV-004; landing 200 does not prove registry data","public (anon + auth)","projects","EXPECTED","","EV-001;EV-002;EV-004","Low-rate public GET /registry without auth is a safe next probe (orchestrator approval)"
"F-006","NIOKTR registry","Cards and organizations searchable; registry limits enforced","app/api/v1/nioktr.py :: GET '' and /organizations and /{reg}; app/db/models.py NioktrCard; seed_nioktr.py","Lineage f06b15c; per-file not diffed","UNKNOWN: unprobed; auth-gated detail unknown","public list; auth detail","nioktr_cards; organizations","EXPECTED","","EV-001;EV-002","Probe public list endpoint read-only before claiming deployed"
"F-007","Executors registry","Specialists and organizations filtered by role slug with limit/after_id","app/api/v1/executors.py :: GET '' and /specialists and /organizations; EXECUTOR_ROLE_SLUGS rd_executor/scientific_org/serial_manufacturer","Lineage f06b15c; per-file not diffed","UNKNOWN: unprobed","public list; auth detail","users; roles; user_profiles; organizations","EXPECTED","","EV-001;EV-002","Same safe-probe treatment as F-005/F-006"
"F-008","Technologies directory","Reference list of technologies","app/api/v1/technologies.py :: GET ''; app/db/models.py Technology","Lineage f06b15c; per-file not diffed","UNKNOWN: unprobed","public list; auth write","technologies","EXPECTED","","EV-001;EV-002","Confirm read-only list endpoint in a later probe wave"
"F-009","News publishing and scheduler","CRUD plus scheduled publish via 60s background loop with advisory lock","app/api/v1/news.py (CRUD/publish/schedule/unpublish); app/services/news_scheduler.py (SCHEDULER_INTERVAL_SECONDS=60); _news_scheduler_loop in app/main.py with pg_try_advisory_lock(42)","Lineage f06b15c; per-file not diffed","UNKNOWN for working publish; weak signal only: /news route templates observed in /metrics (EV-004)","auth (author/manager/admin)","news_posts; news_categories; news_tags; news_post_media; notifications","EXPECTED","","EV-001;EV-002;EV-004","Scheduler liveness needs log evidence (operations scope); no content assertions made"
"F-010","Auth lifecycle (register/login/refresh/logout/me)","Allowlisted self-registration; JWT HS256; atomic refresh; login throttling","app/api/v1/auth.py; PRIVILEGED_ROLE_SLUGS and SELF_REGISTER_ALLOWED_SLUGS in app/core/deps.py; NextAuth Credentials in src/auth.config.ts","Lineage f06b15c; per-file not diffed","UNKNOWN: no auth calls executed (R36, no test accounts; Decision 4/5)","self-register: gk_customer/rd_executor/scientific_org/serial_manufacturer; privileged blocked","users; roles; refresh_tokens","EXPECTED","","EV-001;EV-002","Role runtime stays UNKNOWN until test accounts exist; static allowlist verified only"
